,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
0,-22.29295383,-1.600691294,0.330601754,-0.013733771,0.090183326,0.020968673,0.031414055,-0.568896055,0.045593946,-0.497482352,-0.228196766,0.234254062,-0.063096193,-0.045628101,0.018867102
1,-21.82674204,-1.622691163,0.325295904,-0.0009683,0.106613313,0.029512217,0.023780875,-0.543100527,0.004860192,-0.492359318,-0.209243471,0.219183513,-0.055818593,-0.049810797,0.018250138
2,-21.28269978,-1.605282144,0.316196642,-0.023317522,0.071266186,0.014223085,0.028485171,-0.564013641,0.029006004,-0.52011557,-0.191616749,0.211654303,-0.061036809,-0.064032277,0.034315489
3,-20.71237045,-1.581811114,0.328290266,-0.037581383,0.077426128,0.003088305,0.017815102,-0.569805746,0.040555239,-0.517600101,-0.205092819,0.22345574,-0.06323603,-0.038737887,0.031049796
4,-20.18435158,-1.607353119,0.315498801,-0.04281971,0.067859277,-0.010952496,0.0237267,-0.557797991,0.062039916,-0.517373184,-0.210794716,0.18029252,-0.094973058,-0.066772985,0.025452571
5,-19.58400089,-1.594940193,0.332100175,-0.013581101,0.088383517,0.013648953,0.015388823,-0.587350995,0.050224537,-0.494786264,-0.176049607,0.171980459,-0.076579057,-0.024641258,0.021768864
6,-19.00779957,-1.644821075,0.313241537,0.0066839,0.077342531,0.013372516,0.008187822,-0.547720206,0.017732264,-0.496309413,-0.200763671,0.180312787,-0.042559516,-0.05181211,0.004943501
7,-18.3958126,-1.653644433,0.329989971,-0.008207335,0.084007043,0.012203498,-0.001555185,-0.536171529,0.039461797,-0.491363681,-0.163767506,0.178291262,-0.067404987,-0.052894693,0.011647197
8,-17.73026651,-1.629478657,0.323412691,-0.001964527,0.103695354,0.0337245,0.022821479,-0.520802745,0.031711876,-0.511462319,-0.186310678,0.175442596,-0.076425654,-0.042855629,0.023967673
9,-17.0620916,-1.624517703,0.308971687,-0.045805755,0.106838673,0.004633225,-0.003227682,-0.525333624,-0.00172681,-0.455383616,-0.192083626,0.194605218,-0.086549173,-0.04843909,0.027474607
10,-16.40281276,-1.642145847,0.328506706,-0.031579288,0.08600184,0.007592632,0.021268591,-0.541026724,0.01053037,-0.469569495,-0.198902405,0.183738303,-0.077322771,-0.020414683,0.027201688
11,-15.69669926,-1.640673527,0.334464809,-0.02848136,0.0880754,0.042127734,0.012027117,-0.520186196,0.04903523,-0.476385215,-0.200653281,0.161747285,-0.072610411,-0.054956509,-0.005950967
12,-14.98135835,-1.64674334,0.312510289,-0.050625386,0.08286269,-0.009880929,0.031669043,-0.544535439,0.02905468,-0.45246098,-0.162584373,0.166819474,-0.082384399,-0.031464308,0.011263045
13,-14.26405555,-1.630720828,0.332986534,-0.039851841,0.092340104,0.009220243,0.05020211,-0.492590254,0.04405327,-0.458449464,-0.155347842,0.155133333,-0.062792415,-0.033355339,0.026310697
14,-13.46588748,-1.695561788,0.294556346,0.012189996,0.094173067,0.025162479,0.027624546,-0.555746709,0.055071976,-0.466211349,-0.175158342,0.16005303,-0.062534278,-0.058575061,0.025313566
15,-12.6769683,-1.666502146,0.345721075,-0.01803168,0.078427838,0.027663846,0.02470446,-0.520426779,0.048402801,-0.48255552,-0.189182311,0.163907874,-0.089779418,-0.029087162,0.037712005
16,-11.86164153,-1.666243714,0.304240966,0.004724169,0.115105457,0.05668737,0.036637884,-0.515941102,0.014708944,-0.459929126,-0.192305978,0.15007114,-0.088839877,-0.048338934,0.034100366
17,-11.02419812,-1.615613171,0.325189959,0.033845551,0.091674245,0.033817632,0.005336662,-0.525679968,0.068806378,-0.45129337,-0.153517594,0.194349087,-0.061573216,-0.064103758,0.012022867
18,-10.23436387,-1.633331371,0.299192165,-0.04336279,0.067410974,0.005689673,0.030788872,-0.541025646,0.055679761,-0.454321186,-0.145089565,0.147307277,-0.085313828,-0.030801525,0.02604576
19,-9.360136613,-1.678161962,0.33937444,-0.034070565,0.074005085,-0.001371036,0.026313657,-0.527903568,0.043830687,-0.451892655,-0.150187885,0.133978443,-0.053979799,-0.047119832,0.030336893
20,-8.46773323,-1.674214788,0.319425633,0.003839802,0.08932637,0.008814276,0.008731474,-0.505736848,0.03612822,-0.442319735,-0.136212002,0.127031115,-0.071168241,-0.049760995,-0.005606576
21,-7.56776127,-1.688527341,0.301645508,0.000708552,0.101572555,-0.007115335,0.026886417,-0.523409381,0.034448794,-0.457331559,-0.104712796,0.171211022,-0.108019714,-0.028630212,0.044896097
22,-6.652516143,-1.690707011,0.338876635,-0.037488966,0.081303082,0.005480168,0.028233226,-0.487025935,0.072492748,-0.512457406,-0.167686925,0.163794548,-0.081863531,-0.044760598,0.041360937
23,-5.683563374,-1.688258897,0.329468392,-0.019600246,0.072937292,0.022236653,0.040219996,-0.521940116,0.046984363,-0.439213341,-0.152004366,0.132348105,-0.072346896,-0.030057194,0.02363305
24,-4.751453096,-1.719345008,0.36456546,-0.064971863,0.085023862,0.011714355,0.020141836,-0.48958219,0.056896569,-0.489827255,-0.150062546,0.141493497,-0.090146528,-0.042477741,0.019925666
25,-3.751619358,-1.735542886,0.339787057,-0.028050568,0.123033221,0.036997658,0.023071173,-0.550925558,-9.58E-05,-0.453196938,-0.14446559,0.151292819,-0.079753924,-0.032866356,0.032213364
26,-2.787092371,-1.73246517,0.249992994,-0.014834235,0.101414405,0.007031581,0.003049909,-0.501694309,0.027165421,-0.464605869,-0.15452198,0.091521728,-0.04041752,-0.060317409,0.04147878
27,-1.738008568,-1.739254053,0.32752549,-0.053789604,0.091187265,0.02115316,0.036532379,-0.521855419,0.01100065,-0.466748336,-0.156536707,0.155658871,-0.04736131,-0.047068721,0.032595031
28,-0.703735564,-1.762923895,0.335928748,-0.035957933,0.085430511,0.011068029,0.01031635,-0.498881719,0.060540268,-0.464795767,-0.127615946,0.144272965,-0.063137931,-0.031865173,0.022180463
29,0.366190649,-1.748207774,0.332685622,-0.004040607,0.103105186,0.017895994,0.073427231,-0.470635573,0.032702981,-0.430580851,-0.136999062,0.172599835,-0.09989289,-0.048685104,0.020688417
30,1.422436092,-1.780081394,0.330741907,0.011698992,0.136307547,-0.01167229,0.057003452,-0.492110815,0.0791159,-0.44721914,-0.159326683,0.164223652,-0.082961511,-0.037078944,0.029705722
31,2.517743981,-1.827242987,0.320890993,-0.044925247,0.079345303,0.012982079,0.022755742,-0.497000696,0.05819166,-0.433803705,-0.165708938,0.124538059,-0.056046031,-0.040797065,0.008295583
32,3.666119347,-1.814017619,0.320633844,-0.035013297,0.109516715,0.022361527,0.053097864,-0.494647738,-0.00362855,-0.468964231,-0.127086876,0.164995579,-0.06662676,-0.042192018,0.038032245
33,4.793823777,-1.801084615,0.3559562,-0.004879539,0.097638517,0.029257106,0.006040056,-0.52449759,0.046297471,-0.439237018,-0.127611245,0.117273531,-0.11091355,-0.017532523,0.012724947
34,6.013008831,-1.816842214,0.312595195,-0.022371314,0.081965375,0.039445837,0.044459173,-0.506233369,0.039917495,-0.488719669,-0.153859275,0.164790917,-0.099612671,-0.061600206,0.011272698
35,7.150671574,-1.852758843,0.325017845,-0.014705181,0.127113095,-0.002499734,0.009452737,-0.482742212,0.026515651,-0.471465707,-0.169462271,0.180262332,-0.078974763,-0.027479814,0.034500684
36,8.357409068,-1.851891821,0.349661736,-0.050489592,0.050144263,-0.003782585,0.010308363,-0.495652381,0.019077075,-0.443467595,-0.140328697,0.165668126,-0.067399315,-0.049162861,0.021127191
37,9.570794848,-1.840917753,0.351368278,-0.030710686,0.099217176,0.005960187,0.001195338,-0.484974281,0.053835938,-0.459277516,-0.184853671,0.156874803,-0.063198319,-0.037107301,0.012682471
38,10.77721306,-1.856583716,0.323528923,0.004530407,0.08432694,0.019888051,0.013537821,-0.503036648,0.050614396,-0.447382921,-0.124220316,0.129108661,-0.070055236,-0.040159227,0.014122794
39,12.08775594,-1.862976675,0.291528359,-0.015992352,0.097536354,-0.006840245,0.02273725,-0.488065715,0.04702015,-0.478665699,-0.166119252,0.148758872,-0.090346,-0.042015418,0.016884595
40,13.36310077,-1.905427856,0.347044981,-0.033826573,0.066730229,0.026847415,0.035821393,-0.485036031,0.028413366,-0.48220492,-0.173068111,0.157457463,-0.058294802,-0.056784021,0.014591457
41,14.7129186,-1.936486241,0.312943432,-0.009327571,0.087749614,0.029850942,0.022415546,-0.511058133,0.003755908,-0.482031681,-0.157341833,0.163274642,-0.051980238,-0.065127299,0.050170372
42,15.97546327,-1.924056062,0.32913732,-0.000792148,0.074261418,0.020660084,0.018112282,-0.495524143,0.035801687,-0.478812125,-0.146178018,0.151698983,-0.056230356,-0.071954005,0.035583588
43,17.31495765,-1.937972256,0.357992966,-0.024062823,0.089111129,-0.001813766,0.027632479,-0.505304961,0.045654383,-0.456899422,-0.143925996,0.13717285,-0.052363305,-0.039252814,0.027352568
44,18.68991693,-1.993111744,0.338898948,-0.016298865,0.082080631,0.021632258,0.009060419,-0.525817552,0.030614982,-0.486007669,-0.162777029,0.16589196,-0.071896417,-0.045651368,0.028559979
45,20.05766675,-1.986190311,0.347338766,-0.034737299,0.107465783,0.005183094,0.024518028,-0.503884733,0.019589868,-0.479202652,-0.168267317,0.169309295,-0.077104277,-0.045542641,0.019422736
46,21.44873959,-1.998217753,0.347780962,0.008954514,0.08061308,0.010604114,0.042165344,-0.507222267,0.021406207,-0.486665435,-0.154605126,0.182732384,-0.071907934,-0.031635051,0.033082504
47,22.87456101,-1.994552479,0.353226295,0.002153864,0.086744629,0.029211728,0.026560662,-0.50618588,0.051294904,-0.471627487,-0.172964891,0.178282567,-0.050975035,-0.047730052,0.049076219
